"date","close","start","high","low","volume","change"
"2024- 02- 12","11.26","11.14","11.32","10.97","101.63M","1.26%"
"2024- 02- 09","11.12","11.37","11.44","11.06","103.61M","-2.88%"
"2024- 02- 08","11.45","11.51","11.57","11.39","78.72M","-0.52%"
"2024- 02- 07","11.51","11.64","11.75","11.43","122.76M","-2.95%"
"2024- 02- 06","11.86","11.70","12.06","11.65","123.24M","0.68%"
"2024- 02- 05","11.78","11.74","12.07","11.69","154.80M","0.51%"
"2024- 02- 02","11.72","12.20","12.28","11.63","189.77M","-5.02%"
"2024- 02- 01","12.34","12.64","12.73","12.31","153.24M","-3.44%"
"2024- 01- 31","12.78","12.46","12.80","12.28","174.72M","5.88%"
"2024- 01- 30","12.07","11.92","12.15","11.87","87.41M","2.03%"
"2024- 01- 29","11.83","12.16","12.22","11.81","89.77M","-2.95%"
"2024- 01- 26","12.19","12.14","12.25","11.99","113.06M","1.84%"
"2024- 01- 25","11.97","11.80","12.18","11.74","141.39M","-0.17%"
"2024- 01- 24","11.99","11.85","12.04","11.65","171.11M","-1.64%"
"2024- 01- 23","12.19","12.29","12.45","12.18","90.44M","-1.22%"
"2024- 01- 22","12.34","12.20","12.40","12.08","113.84M","-0.32%"
"2024- 01- 19","12.38","12.95","13.01","12.37","162.23M","-5.86%"
"2024- 01- 18","13.15","13.42","13.55","13.10","160.54M","-4.15%"
"2024- 01- 17","13.72","13.82","14.15","13.68","139.74M","1.70%"
"2024- 01- 16","13.49","13.60","13.75","13.33","132.81M","0.15%"
"2024- 01- 12","13.47","13.39","13.62","13.31","113.27M","-0.15%"
"2024- 01- 11","13.49","13.45","14.00","13.30","155.06M","-0.37%"
"2024- 01- 10","13.54","13.79","13.89","13.44","96.55M","-2.03%"
"2024- 01- 09","13.82","14.21","14.24","13.72","110.75M","-0.50%"
"2024- 01- 08","13.89","14.67","14.69","13.86","115.49M","-6.15%"
"2024- 01- 05","14.80","14.84","14.96","14.49","146.00M","-0.27%"
"2024- 01- 04","14.84","14.84","14.87","14.48","111.61M","1.71%"
"2024- 01- 03","14.59","14.43","14.65","14.32","130.68M","3.18%"
"2024- 01- 02","14.14","13.81","14.38","13.79","125.82M","5.13%"
"2023- 12- 29","13.45","13.29","13.64","13.25","119.57M","1.36%"
"2023- 12- 28","13.27","13.13","13.31","13.11","61.87M","0.38%"
"2023- 12- 27","13.22","13.28","13.36","13.19","88.83M","-0.53%"
"2023- 12- 26","13.29","13.46","13.47","13.23","57.45M","-1.77%"
"2023- 12- 22","13.53","13.48","13.73","13.38","88.06M","-0.51%"
"2023- 12- 21","13.60","13.67","13.94","13.55","117.08M","-3.27%"
"2023- 12- 20","14.06","13.55","14.07","13.33","129.16M","2.33%"
"2023- 12- 19","13.74","13.90","13.92","13.72","80.83M","-1.36%"
"2023- 12- 18","13.93","14.16","14.20","13.84","97.07M","-2.25%"
"2023- 12- 15","14.25","14.33","14.39","14.07","116.44M","-1.11%"
